Material, Thickness (cm), Dose (rad), High Risk Events
Aluminum Wall 6mm (BaseLine),15.0,6.0367900000000004e-24,6
HDPE,2.0,1.15692e-23,10
HDPE,2.5,5.6872e-24,8
HDPE,3.0,7.5957e-24,6
HDPE,3.5,4.2181600000000006e-24,7
HDPE,4.0,3.64021e-24,5
HDPE,4.5,1.97989e-24,1
HDPE,5.0,4.92863e-24,3
HDPE,5.5,1.7655800000000003e-24,3
HDPE,6.0,7.41277e-24,6
HDPE,6.5,2.79892e-24,2
HDPE,7.0,4.13811e-25,2
HDPE,7.5,2.2085400000000002e-24,2
HDPE,8.0,2.03187e-24,7
HDPE,8.5,1.88839e-24,4
HDPE,9.0,4.29691e-24,4
HDPE,9.5,2.9693200000000004e-24,4
HDPE,10.0,3.8817700000000006e-24,2
HDPE,10.5,1.8849300000000003e-24,5
HDPE,11.0,2.8319600000000003e-24,3
HDPE,11.5,6.800700000000001e-25,5
HDPE,12.0,1.4888900000000002e-24,4
HDPE,12.5,1.36125e-24,2
HDPE,13.0,6.52946e-25,0
HDPE,13.5,1.5664100000000001e-24,4
HDPE,14.0,3.5929e-24,2
HDPE,14.5,1.3552100000000001e-24,1
HDPE,15.0,3.0169500000000002e-24,5
Composite (27H:13S),2.0,7.51585e-24,4
Composite (27H:13S),2.5,9.233440000000001e-24,8
Composite (27H:13S),3.0,7.850110000000001e-24,11
Composite (27H:13S),3.5,1.01443e-23,22
Composite (27H:13S),4.0,6.843e-24,7
Composite (27H:13S),4.5,5.7859700000000005e-24,5
Composite (27H:13S),5.0,1.13697e-23,11
Composite (27H:13S),5.5,4.2174200000000006e-24,9
Composite (27H:13S),6.0,4.70383e-24,5
Composite (27H:13S),6.5,2.8037700000000003e-24,3
Composite (27H:13S),7.0,5.3976200000000004e-24,3
Composite (27H:13S),7.5,6.248310000000001e-24,7
Composite (27H:13S),8.0,2.87546e-24,3
Composite (27H:13S),8.5,3.9256600000000006e-24,2
Composite (27H:13S),9.0,1.07953e-23,11
Composite (27H:13S),9.5,5.4043400000000005e-24,5
Composite (27H:13S),10.0,3.3632e-24,3
Composite (27H:13S),10.5,3.2324800000000003e-24,5
Composite (27H:13S),11.0,3.1708200000000004e-24,8
